########################## start user prologue 29037 ###########################
Created QTMPDIR
QTMPDIR=/local/1422723
##########################  end user prologue  29037 ###########################
This is the Sara Fraija Space
Activate HAWC enviroment
>>> Configuration file found, will be ignored in favour of command line
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 18814.8 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 19253.1 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 19701.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 20160.4 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 20630 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 21110.6 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 21602.3 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 22105.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 22620.4 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 23147.3 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 23686.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 24238.2 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 24802.8 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 25380.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 25971.7 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 26576.6 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 27195.7 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 27829.2 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 28477.4 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 29140.7 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 29819.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 30514.1 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 31224.8 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 31952.1 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 32696.4 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 33458 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 34237.3 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 35034.8 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 35850.9 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 36686 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 37540.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 38414.9 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 39309.7 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 40225.4 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 41162.3 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 42121.1 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 43102.3 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 44106.2 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 45133.6 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 46184.9 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 47260.7 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 48361.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 49488 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 50640.7 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 51820.3 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 53027.4 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 54262.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 55526.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 56819.8 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 58143.3 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 59497.7 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 60883.6 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 62301.7 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 63752.9 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 65237.9 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 66757.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 68312.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 69903.7 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 71531.9 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 73198.1 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 74903.1 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 76647.9 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 78433.2 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 80260.2 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 82129.7 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 84042.7 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 86000.3 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 88003.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 90053.4 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 92151 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 94297.5 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 96493.9 is above maximum 10^2 TeV.
WARNING [Gilmore12FiducialEBLModel.cc, GetOpticalDepth:206]: Energy 98741.6 is above maximum 10^2 TeV.
slurmstepd: error: *** JOB 1422723 ON gala24 CANCELLED AT 2025-05-09T00:13:39 ***
